Umpan Balik;Departemen
Laptop kerja yang diberikan spesifikasinya sangat rendah, sering sekali hang dan menghambat pekerjaan coding saya. Proses untuk meminta software baru juga terlalu sulit dan birokratis, butuh waktu berminggu-minggu hanya untuk approval dari IT support.;Teknologi
Kampanye digital terakhir hasilnya luar biasa, melebihi target! Ini semua berkat kerja tim yang sangat kompak dan manajer yang selalu mendukung dan memberikan arahan yang jelas. Saya bangga menjadi bagian dari tim ini.;Marketing
Beban kerja di tim operasional terasa tidak seimbang, beberapa dari kami sering lembur sementara yang lain pekerjaannya lebih ringan. Selain itu, fasilitas kantor seperti kursi kerja sudah seharusnya diganti karena kurang nyaman dan membuat sakit punggung.;Operasional
Saya kurang suka dengan partner saya, saya berharap partner kerja saya diganti;Operasional
Program training dan pengembangan diri yang diselenggarakan oleh tim Human Capital tahun ini sangat bagus dan terstruktur. Materinya relevan untuk pengembangan karir saya dan prosesnya sangat membantu saya beradaptasi.;Human Capital
Proses klaim reimbursement perjalanan dinas berjalan sesuai prosedur yang berlaku. Penggantian dana biasanya masuk dalam 7 hari kerja, sejauh ini tidak ada masalah berarti.;Keuangan
Saya sangat mengapresiasi keputusan untuk berlangganan software manajemen proyek yang baru. Tools ini sangat efisien dan benar-benar mempercepat alur kerja antar tim. Inovasi teknologi seperti ini harus terus dilanjutkan.;Teknologi
Jadwal pengiriman barang untuk kuartal ini berjalan seperti biasa. Laporan harian sudah saya kirimkan ke manajer setiap sore, tidak ada kendala.;Operasional
Sulit sekali untuk bersaing dengan kompetitor jika budget marketing kita terus menerus terbatas. Banyak ide kreatif yang tidak bisa dieksekusi karena masalah anggaran untuk iklan dan produksi konten.;Marketing
Software akuntansi yang baru memang canggih dan membuat laporan keuangan jadi lebih akurat. Namun, butuh training lebih lanjut karena beberapa fiturnya cukup kompleks dan belum semua anggota tim paham cara menggunakannya.;Keuangan
Jenjang karir di departemen ini terasa tidak jelas. Tidak ada transparansi mengenai kriteria untuk mendapatkan promosi, sehingga saya dan beberapa rekan merasa sulit untuk merencanakan pengembangan karir jangka panjang di perusahaan ini.;Human Capital
